ticker,setor,nome,preco_atual,p_l,p_vp,roe,dividend_yield,margem_liquida,divida_patrimonio,market_cap,p_l_vs_setor,roe_vs_setor,dividend_yield_vs_setor
CURY3.SA,Real Estate,Cury Construtora e Incorporadora S.A.,27.44,7.517808,5.1070166,68.527,18.27,17.894,65.557,8452826112.0,-12.491148316666667,44.05669226923077,4.694166666666666
CVCB3.SA,Consumer Cyclical,CVC Brasil Operadora e Agência de Viagens S.A.,1.38,46.0,2.2258065,-33.345002,,-8.944,167.471,718702080.0,33.134982504999996,-43.26682813913044,
CXSE3.SA,Financial Services,Caixa Seguridade Participações S.A.,20.4,13.509933,4.4367113,33.348998,6.96,75.434995,0.07,61199998976.0,-1.2019289578947348,13.080897970000002,1.4757894736842108
CYRE3.SA,Consumer Cyclical,Cyrela Brazil Realty S.A. Empreendimentos e Participações,26.51,5.713362,1.0343752,20.593001,14.24,20.621000000000002,72.721,9566738432.0,-7.151655495,10.671174860869566,1.2326315789473696
CYRE4.SA,Consumer Cyclical,Cyrela Brazil Realty S.A. Empreendimentos e Participações,25.2,,0.98326117,20.593001,,20.621000000000002,72.721,,,10.671174860869566,
DESK3.SA,Communication Services,Desktop S.A.,19.26,40.125,1.5648359,4.651000000000001,0.43,4.399,121.12,2239251200.0,22.4545193,-2.9189998333333333,-7.4159999999999995
DIRR3.SA,Real Estate,Direcional Engenharia S.A.,9.86,6.0490794,2.203352,41.882000000000005,26.72,17.729999,116.157,5116340736.0,-13.959876916666666,17.411692269230777,13.144166666666665
DXCO3.SA,Basic Materials,Dexco S.A.,5.65,,0.74088645,0.73,,-0.426,118.511,5129469440.0,,-11.72562500625,
ECOR3.SA,Industrials,EcoRodovias Infraestrutura e Logística S.A.,8.93,11.303798,1.5099764,12.307,3.52,4.593,664.149,6211897856.0,-6.543547452631579,8.596666629583334,-3.2099999999999995
EGIE3.SA,Utilities,Engie Brasil Energia S.A.,29.0,8.430232,2.206498,28.59,5.93,28.941,205.959,41075064832.0,-13.563803211764707,14.728444522222222,0.2624999999999993
EMBJ3.SA,Industrials,Embraer S.A.,99.1,31.460316,3.9395745,12.189999,1.13,5.2780000000000005,68.91,70542663680.0,13.61297054736842,8.479665629583334,-5.6
ENEV3.SA,Utilities,Eneva S.A.,27.2,54.4,2.556151,7.1490005,,5.0300002,119.554,52233433088.0,32.405964788235295,-6.712554977777778,
ENGI11.SA,Utilities,Energisa S.A.,51.37,37.224636,1.0064261,9.408,3.92,4.133,198.765,15733757952.0,15.23060078823529,-4.453555477777778,-1.7475000000000005
EQTL3.SA,Utilities,Equatorial S.A.,39.63,70.76786,1.9036411,5.0029997,5.93,1.752,226.843,49787121664.0,48.77382478823529,-8.858555777777777,0.2624999999999993
EZTC3.SA,Real Estate,EZTEC Empreendimentos e Participações S.A.,13.57,8.27439,0.7193215,10.551,2.74,36.948,34.175,3763762176.0,-11.734566316666665,-13.919307730769228,-10.835833333333333
FESA4.SA,Basic Materials,Cia de Ferro Ligas da Bahia S.A. - FERBASA,5.52,13.463415,0.5690722,4.439,20.65,6.782000000000001,11.904,1870549120.0,-11.70299241538462,-8.01662500625,13.30076923076923
